iteracao,retorno_usd,multiplicador
347,5456573735.491884,2.73375437649894
348,5545951206.963638,2.7785326688194583
349,4574294436.441079,2.291730679579699
350,4548937148.296333,2.2790266274029727
351,5301102993.814524,2.6558632233539696
352,5061708048.053855,2.5359258757784846
353,4448749908.154127,2.228832619315695
354,4991746159.595482,2.500874829456654
355,4848724483.950925,2.429220683342147
356,5692856155.326891,2.852132342348142
357,5005617382.934502,2.507824340147546
358,4911578049.845915,2.4607104458145868
359,4473612310.268283,2.2412887325993402
360,4602317610.616963,2.305770346000483
361,5247416182.003584,2.6289660230478877
362,4658581592.962306,2.333958713908971
363,4999167560.994202,2.5045929664299607
364,5330858746.286089,2.6707709149729904
365,4837479032.6520405,2.4235866897054312
366,4941760534.747952,2.475831931236449
367,4684521248.795992,2.3469545334649258
368,4183224525.106372,2.0958038702937736
369,4605635126.917103,2.307432428315182
370,4979406330.305063,2.4946925502530375
371,5166714488.455833,2.588534312853624
372,5087538822.858209,2.5488671457205454
373,4612142345.698515,2.310692557965188
374,4490256336.711215,2.2496274232020115
375,4815304737.06579,2.4124773231792536
376,4254598144.9621563,2.1315621968748277
377,4785006466.094256,2.3972978287045374
378,5062494306.204672,2.5363197926877112
379,4762152289.115236,2.3858478402380943
380,5296105906.847736,2.653359672769407
381,5527404123.22535,2.7692405426980713
382,5201058861.163608,2.605740912406617
383,4249499184.688532,2.1290076075593847
384,4176817902.9212112,2.092594139740086
385,4584143047.366231,2.2966648533898955
386,4594902005.625516,2.302055113038836
387,4428991097.817799,2.21893341574038
388,6205199357.8594,3.1088173135568136
389,4883768466.970277,2.446777789063265
390,4673182423.627977,2.341273759332654
391,4572473976.079998,2.29081862529058
392,5211837594.398548,2.61114107935799
393,4918213638.583374,2.4640348890698265
394,5143007055.080083,2.5766568412224866
395,4720569472.030319,2.365014765546252
396,4666965208.812336,2.338158922250669
397,4576872013.99476,2.293022051099579
398,4659092839.942618,2.3342148496706505
399,5591961175.997775,2.8015837555099075
400,4527930051.909367,2.2685020300147127
401,5796612649.3045635,2.9041145537598014
402,5430290769.606251,2.7205865579189634
403,4842367978.258097,2.4260360612515512
404,4957046765.399246,2.483490363426476
405,5499373314.705547,2.755197051455685
406,4517876382.848087,2.2634651216673785
407,6454583926.275162,3.2337594821017843
408,5257649210.495832,2.6340927908295755
409,5126860134.769496,2.5685672017883245
410,4708875399.615303,2.359156011831314
411,5114051407.690765,2.562150003853089
412,5237386595.245947,2.6239411799829395
413,5096256569.370829,2.553234754193802
414,4886914913.398296,2.4483541650292064
415,4785943240.353912,2.397767154485928
416,4810255179.65316,2.4099474847961724
417,4434635011.679328,2.2217610278954547
418,4964509995.24921,2.4872294565376807
419,5350734570.519861,2.6807287427454214
420,4930462316.775435,2.4701715013904986
421,4412474250.400922,2.2106584420846302
422,4942812660.538851,2.4763590483661577
423,5275860736.518567,2.6432168018630096
424,5161655617.791161,2.5859998085126055
425,4800198180.574478,2.404908908103446
426,4250407760.052953,2.129462805637752
427,5861841197.186351,2.9367941869671097
428,4692290292.145646,2.350846839752328
429,5296774615.163211,2.6536946969755566
430,5070845744.256296,2.540503879887924
431,4822357900.018804,2.4160109719533085
432,4808800352.381626,2.4092186134176483
433,4848750946.687067,2.4292339412259856
434,5078109458.555109,2.5441430153081708
435,4643982848.126404,2.3266447134901824
436,5092275988.060726,2.551240474980324
437,6448310963.237993,3.230616715049095
438,4881979466.766233,2.4458814963758684
439,4830508268.899754,2.4200943230960688
440,5458367337.72814,2.7346529748136974
441,5183065063.514452,2.5967259837246752
442,4443675491.227665,2.226290326266365
443,4554148682.662967,2.2816376165646126
444,4738654290.206765,2.374075295694772
445,4905543935.3269615,2.4576873423481773
446,5457411234.090419,2.7341739649751595
447,5771977731.060921,2.891772410351163
448,5194701560.883484,2.6025558922261944
